trajectory_kind,pair_id,ligand,receptor,pair,cell_type,expected_n_times,observed_n_times,requested_times,observed_times,missing_times,complete_time_grid,total_score,nonzero_n_times,requested_subunits,missing_pca_subunits,inactive_pca_subunits,retained,drop_reason,expression_unavailable_times,n_expression_unavailable_times
pair,"[""ADCYAP1"",""ADCYAP1R1""]",ADCYAP1,ADCYAP1R1,ADCYAP1_ADCYAP1R1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ADCYAP1;ADCYAP1R1,,ADCYAP1R1,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ADGRE5"",""CD55""]",ADGRE5,CD55,ADGRE5_CD55,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ADGRE5;CD55,ADGRE5;CD55,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.01509121637479495,9,ADIPOQ;ADIPOR1,,,True,,,
pair,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.05863057730462841,9,ADIPOQ;ADIPOR2,,,True,,,
pair,"[""ADM"",""CALCR""]",ADM,CALCR,ADM_CALCR,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.5106475267348377,9,ADM;CALCR,,,True,,,
pair,"[""ADM"",""CALCRL""]",ADM,CALCRL,ADM_CALCRL,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.928426527905286,9,ADM;CALCRL,,,True,,,
pair,"[""AGRN"",""DAG1""]",AGRN,DAG1,AGRN_DAG1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,106.41762374473518,9,AGRN;DAG1,,,True,,,
pair,"[""AGT"",""AGTR1""]",AGT,AGTR1,AGT_AGTR1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.477963808886504,9,AGT;AGTR1,,,True,,,
pair,"[""AGT"",""MAS1""]",AGT,MAS1,AGT_MAS1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AGT;MAS1,MAS1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ALCAM"",""CD6""]",ALCAM,CD6,ALCAM_CD6,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ALCAM;CD6,ALCAM;CD6,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AMH"",""AMHR2_ACVR1""]",AMH,AMHR2_ACVR1,AMH_AMHR2_ACVR1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;AMH;AMHR2,ACVR1;AMH;AMHR2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AMH"",""AMHR2_BMPR1A""]",AMH,AMHR2_BMPR1A,AMH_AMHR2_BMPR1A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AMH;AMHR2;BMPR1A,AMH;AMHR2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPT1"",""TEK""]",ANGPT1,TEK,ANGPT1_TEK,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.048489280641102084,9,ANGPT1;TEK,,,True,,,
pair,"[""ANGPT2"",""ITGA5_ITGB1""]",ANGPT2,ITGA5_ITGB1,ANGPT2_ITGA5_ITGB1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.17987849405452505,9,ANGPT2;ITGA5;ITGB1,,,True,,,
pair,"[""ANGPT2"",""TEK""]",ANGPT2,TEK,ANGPT2_TEK,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.035161854059795536,9,ANGPT2;TEK,,,True,,,
pair,"[""ANGPTL1"",""ITGA1_ITGB1""]",ANGPTL1,ITGA1_ITGB1,ANGPTL1_ITGA1_ITGB1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.06528010313192606,9,ANGPTL1;ITGA1;ITGB1,,,True,,,
pair,"[""ANGPTL1"",""LILRB3""]",ANGPTL1,LILRB3,ANGPTL1_LILRB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL1;LILRB3,LILRB3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL2"",""ITGA5_ITGB1""]",ANGPTL2,ITGA5_ITGB1,ANGPTL2_ITGA5_ITGB1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,1.4125253894138368,9,ANGPTL2;ITGA5;ITGB1,,,True,,,
pair,"[""ANGPTL2"",""LILRB3""]",ANGPTL2,LILRB3,ANGPTL2_LILRB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL2;LILRB3,LILRB3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL2"",""TLR4""]",ANGPTL2,TLR4,ANGPTL2_TLR4,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL2;TLR4,TLR4,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL3"",""ITGAV_ITGB3""]",ANGPTL3,ITGAV_ITGB3,ANGPTL3_ITGAV_ITGB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL3;ITGAV;ITGB3,ANGPTL3;ITGAV,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""CDH11""]",ANGPTL4,CDH11,ANGPTL4_CDH11,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL4;CDH11,CDH11,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""CDH5""]",ANGPTL4,CDH5,ANGPTL4_CDH5,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,0.7412790265704502,9,ANGPTL4;CDH5,,,True,,,
pair,"[""ANGPTL4"",""ITGA5_ITGB1""]",ANGPTL4,ITGA5_ITGB1,ANGPTL4_ITGA5_ITGB1,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,1.2385771843838078,9,ANGPTL4;ITGA5;ITGB1,,,True,,,
pair,"[""ANGPTL4"",""ITGAV_ITGB3""]",ANGPTL4,ITGAV_ITGB3,ANGPTL4_ITGAV_ITGB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL4;ITGAV;ITGB3,ITGAV,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""SDC1""]",ANGPTL4,SDC1,ANGPTL4_SDC1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL4;SDC1,SDC1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""SDC2""]",ANGPTL4,SDC2,ANGPTL4_SDC2,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,16.371895746303046,9,ANGPTL4;SDC2,,,True,,,
pair,"[""ANGPTL4"",""SDC3""]",ANGPTL4,SDC3,ANGPTL4_SDC3,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,44.16311108701542,9,ANGPTL4;SDC3,,,True,,,
pair,"[""ANGPTL4"",""SDC4""]",ANGPTL4,SDC4,ANGPTL4_SDC4,,9,9,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]","[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],True,12.83652023823891,9,ANGPTL4;SDC4,,,True,,,
pair,"[""ANGPTL7"",""LILRB3""]",ANGPTL7,LILRB3,ANGPTL7_LILRB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL7;LILRB3,LILRB3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANXA1"",""FPR1""]",ANXA1,FPR1,ANXA1_FPR1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANXA1;FPR1,ANXA1;FPR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANXA1"",""FPR2""]",ANXA1,FPR2,ANXA1_FPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANXA1;FPR2,ANXA1;FPR2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANXA1"",""FPR2_FPR3""]",ANXA1,FPR2_FPR3,ANXA1_FPR2_FPR3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANXA1;FPR2;FPR3,ANXA1;FPR2;FPR3,,False,not_scoreable_in_uniform_active_pca_universe,,
